time,open,high,low,close,tick_volume,spread,real_volume
2024-01-04 11:00:00,2046.81,2050.98,2046.32,2048.02,4114,4,0
2024-01-04 12:00:00,2048.0,2050.88,2046.68,2048.01,3423,4,0
2024-01-04 13:00:00,2048.01,2048.41,2044.95,2045.17,3258,4,0
2024-01-04 14:00:00,2045.17,2046.26,2043.33,2045.98,3271,4,0
2024-01-04 15:00:00,2046.06,2047.24,2038.85,2040.29,6879,4,0
2024-01-04 16:00:00,2040.32,2042.59,2036.31,2039.41,6892,4,0
2024-01-04 17:00:00,2039.48,2047.68,2039.14,2045.15,6971,4,0
2024-01-04 18:00:00,2045.28,2046.81,2044.14,2044.79,5219,4,0
2024-01-04 19:00:00,2044.85,2045.06,2040.89,2043.27,3860,4,0
2024-01-04 20:00:00,2043.27,2044.06,2041.6,2043.2,2852,4,0
2024-01-04 21:00:00,2043.17,2044.94,2042.51,2044.4,1928,4,0
2024-01-04 22:00:00,2044.38,2044.85,2043.1,2043.1,1910,4,0
2024-01-04 23:00:00,2043.44,2044.42,2043.1,2043.28,808,4,0
2024-01-05 01:00:00,2043.93,2044.8,2042.84,2044.23,1560,4,0
2024-01-05 02:00:00,2044.23,2044.73,2043.35,2044.38,1725,4,0
2024-01-05 03:00:00,2044.39,2048.27,2044.11,2046.2,3791,4,0
2024-01-05 04:00:00,2046.2,2047.9,2045.74,2046.21,2231,4,0
2024-01-05 05:00:00,2046.3,2046.48,2044.83,2045.33,2151,0,0
2024-01-05 06:00:00,2045.31,2046.38,2044.52,2044.61,1325,4,0
2024-01-05 07:00:00,2044.68,2045.24,2043.18,2044.51,1914,4,0
2024-01-05 08:00:00,2044.51,2045.1,2040.91,2042.48,2729,4,0
2024-01-05 09:00:00,2042.31,2047.02,2042.05,2043.16,3569,4,0
2024-01-05 10:00:00,2043.14,2044.44,2041.43,2042.47,3736,4,0
2024-01-05 11:00:00,2042.4,2043.66,2038.45,2038.85,3506,4,0
2024-01-05 12:00:00,2038.88,2040.31,2037.42,2040.06,2986,4,0
2024-01-05 13:00:00,2040.06,2040.4,2037.22,2039.31,2546,4,0
2024-01-05 14:00:00,2039.33,2040.98,2038.48,2040.25,2894,4,0
2024-01-05 15:00:00,2040.19,2041.96,2024.48,2040.06,8938,0,0
2024-01-05 16:00:00,2039.98,2049.24,2038.76,2046.78,10359,0,0
2024-01-05 17:00:00,2051.17,2063.98,2051.17,2054.86,11140,0,0
2024-01-05 18:00:00,2054.88,2056.3,2044.17,2045.1,7345,4,0
2024-01-05 19:00:00,2045.1,2045.44,2040.5,2041.94,6401,4,0
2024-01-05 20:00:00,2041.94,2048.51,2040.52,2048.2,5112,4,0
2024-01-05 21:00:00,2048.2,2050.31,2045.06,2045.74,3777,4,0
2024-01-05 22:00:00,2045.75,2045.79,2042.91,2043.66,3051,4,0
2024-01-05 23:00:00,2043.65,2046.18,2043.65,2045.3,1114,4,0
2024-01-08 01:00:00,2045.16,2045.7,2043.04,2044.32,1705,4,0
2024-01-08 02:00:00,2044.35,2046.33,2043.82,2046.03,1513,4,0
2024-01-08 03:00:00,2045.9,2046.64,2042.96,2043.83,3574,4,0
2024-01-08 04:00:00,2043.8,2043.84,2041.29,2041.35,2708,4,0
2024-01-08 05:00:00,2041.34,2041.48,2035.11,2036.12,3063,4,0
2024-01-08 06:00:00,2036.23,2037.7,2035.67,2035.84,2173,0,0
2024-01-08 07:00:00,2035.82,2036.14,2027.08,2030.78,3537,1,0
2024-01-08 08:00:00,2030.75,2033.36,2030.36,2033.0,3422,7,0
2024-01-08 09:00:00,2032.96,2033.24,2028.64,2031.46,3678,4,0
2024-01-08 10:00:00,2031.32,2031.8,2027.34,2028.3,5199,4,0
2024-01-08 11:00:00,2028.24,2031.74,2026.53,2029.08,4331,4,0
2024-01-08 12:00:00,2029.09,2029.48,2027.0,2027.64,3545,4,0
2024-01-08 13:00:00,2027.63,2027.91,2016.84,2020.07,4586,0,0
2024-01-08 14:00:00,2020.06,2024.91,2018.94,2024.63,3709,4,0
2024-01-08 15:00:00,2024.72,2025.48,2018.43,2018.98,6899,0,0
2024-01-08 16:00:00,2018.97,2027.22,2018.57,2026.43,7380,4,0
2024-01-08 17:00:00,2026.41,2034.77,2025.56,2034.25,7415,3,0
2024-01-08 18:00:00,2034.25,2036.91,2031.46,2032.22,6010,4,0
2024-01-08 19:00:00,2032.25,2033.11,2027.14,2027.7,4337,4,0
2024-01-08 20:00:00,2027.67,2028.31,2026.42,2026.59,2995,4,0
2024-01-08 21:00:00,2026.59,2029.62,2026.57,2029.39,2100,4,0
2024-01-08 22:00:00,2029.4,2029.85,2026.14,2027.16,2467,0,0
2024-01-08 23:00:00,2027.26,2028.77,2027.08,2028.18,1116,4,0
2024-01-09 01:00:00,2028.19,2030.94,2028.02,2030.74,1181,4,0
2024-01-09 02:00:00,2030.75,2034.92,2030.75,2034.34,2733,4,0
2024-01-09 03:00:00,2034.34,2035.57,2031.22,2032.28,3878,4,0
2024-01-09 04:00:00,2032.27,2035.85,2032.18,2034.05,3011,4,0
2024-01-09 05:00:00,2034.2,2034.98,2033.09,2033.65,2020,0,0
2024-01-09 06:00:00,2033.65,2034.97,2032.27,2032.9,1922,4,0
2024-01-09 07:00:00,2032.92,2033.49,2030.37,2032.82,2189,4,0
2024-01-09 08:00:00,2032.82,2035.18,2031.18,2033.2,2639,7,0
2024-01-09 09:00:00,2033.2,2037.22,2032.18,2036.0,3506,4,0
2024-01-09 10:00:00,2036.22,2038.21,2031.36,2034.28,5057,4,0
2024-01-09 11:00:00,2034.26,2037.04,2033.14,2035.4,3660,4,0
2024-01-09 12:00:00,2035.41,2038.55,2034.8,2035.44,3344,4,0
2024-01-09 13:00:00,2035.48,2035.7,2033.74,2035.01,3001,4,0
2024-01-09 14:00:00,2035.02,2036.39,2033.97,2036.37,3204,4,0
2024-01-09 15:00:00,2036.47,2041.94,2031.68,2038.67,6829,0,0
2024-01-09 16:00:00,2038.65,2040.11,2034.0,2034.78,7627,0,0
2024-01-09 17:00:00,2034.79,2035.68,2028.78,2028.84,6602,0,0
2024-01-09 18:00:00,2028.85,2031.62,2026.14,2031.25,5599,4,0
2024-01-09 19:00:00,2031.24,2032.08,2027.14,2027.69,4137,4,0
2024-01-09 20:00:00,2027.62,2029.72,2026.82,2029.24,3821,4,0
2024-01-09 21:00:00,2029.22,2030.07,2027.8,2028.91,2667,4,0
2024-01-09 22:00:00,2029.02,2031.14,2028.33,2028.41,2412,4,0
2024-01-09 23:00:00,2028.82,2030.31,2028.57,2030.21,833,4,0
2024-01-10 01:00:00,2030.29,2031.24,2028.37,2030.8,1686,2,0
2024-01-10 02:00:00,2030.82,2031.18,2029.68,2030.23,1717,4,0
2024-01-10 03:00:00,2030.23,2032.48,2027.23,2031.78,3690,4,0
2024-01-10 04:00:00,2031.79,2032.82,2030.35,2031.86,2489,4,0
2024-01-10 05:00:00,2031.86,2032.05,2028.2,2028.95,2549,4,0
2024-01-10 06:00:00,2028.9,2030.68,2028.51,2029.82,1765,4,0
2024-01-10 07:00:00,2029.82,2030.23,2025.53,2026.71,2501,4,0
2024-01-10 08:00:00,2026.7,2027.01,2023.9,2024.61,2825,4,0
2024-01-10 09:00:00,2024.54,2031.66,2024.32,2031.01,3698,4,0
2024-01-10 10:00:00,2031.01,2035.96,2030.26,2035.33,5063,4,0
2024-01-10 11:00:00,2035.25,2036.17,2034.7,2035.71,3602,4,0
2024-01-10 12:00:00,2035.72,2040.09,2034.56,2034.8,3309,4,0
2024-01-10 13:00:00,2034.83,2035.3,2032.78,2034.1,3013,4,0
2024-01-10 14:00:00,2034.08,2035.66,2031.4,2031.55,3436,4,0
2024-01-10 15:00:00,2031.6,2034.05,2030.07,2030.28,5572,0,0
2024-01-10 16:00:00,2030.31,2033.59,2026.4,2027.39,6454,0,0
2024-01-10 17:00:00,2027.4,2029.76,2024.83,2027.94,6917,3,0
2024-01-10 18:00:00,2028.04,2028.53,2024.77,2027.04,5061,4,0
2024-01-10 19:00:00,2027.06,2027.78,2022.32,2024.09,4282,0,0
2024-01-10 20:00:00,2024.07,2024.48,2021.34,2023.7,4388,4,0
2024-01-10 21:00:00,2023.71,2024.47,2020.47,2023.99,2660,4,0
2024-01-10 22:00:00,2023.99,2025.03,2021.88,2023.6,3207,4,0
2024-01-10 23:00:00,2023.6,2024.47,2023.36,2024.32,989,4,0
2024-01-11 01:00:00,2024.38,2028.02,2023.85,2026.82,1603,4,0
2024-01-11 02:00:00,2026.89,2028.43,2026.62,2027.9,1681,1,0
2024-01-11 03:00:00,2027.91,2030.39,2027.08,2029.76,3005,4,0
2024-01-11 04:00:00,2029.76,2031.96,2028.88,2029.69,2738,4,0
2024-01-11 05:00:00,2029.69,2031.08,2028.82,2030.94,1866,4,0
2024-01-11 06:00:00,2030.94,2032.36,2030.94,2032.15,1428,4,0
2024-01-11 07:00:00,2032.15,2034.66,2031.13,2032.99,2400,4,0
2024-01-11 08:00:00,2033.0,2035.12,2032.16,2034.0,2514,7,0
2024-01-11 09:00:00,2033.95,2035.71,2033.66,2033.88,2787,4,0
2024-01-11 10:00:00,2033.89,2034.03,2030.42,2030.87,3689,4,0
2024-01-11 11:00:00,2030.7,2032.48,2030.25,2031.36,2888,4,0
2024-01-11 12:00:00,2031.51,2032.72,2030.55,2032.14,2278,4,0
2024-01-11 13:00:00,2032.04,2034.41,2031.4,2034.35,2547,4,0
2024-01-11 14:00:00,2034.38,2035.06,2031.62,2032.46,2995,0,0
2024-01-11 15:00:00,2032.47,2042.43,2025.04,2029.38,8982,0,0
2024-01-11 16:00:00,2029.48,2034.86,2024.92,2029.74,10266,0,0
2024-01-11 17:00:00,2029.67,2033.0,2025.26,2029.09,9156,2,0
2024-01-11 18:00:00,2029.08,2029.62,2013.72,2016.7,8105,0,0
2024-01-11 19:00:00,2016.69,2018.45,2013.36,2014.36,5563,4,0
2024-01-11 20:00:00,2014.33,2017.06,2013.92,2017.06,4324,4,0
2024-01-11 21:00:00,2017.09,2027.4,2017.09,2026.46,4595,4,0
2024-01-11 22:00:00,2026.46,2028.53,2023.48,2027.58,3976,4,0
2024-01-11 23:00:00,2027.8,2029.61,2027.41,2028.54,1278,4,0
2024-01-12 01:00:00,2028.77,2035.58,2028.73,2035.32,2055,4,0
2024-01-12 02:00:00,2035.3,2035.42,2030.38,2031.18,2139,4,0
2024-01-12 03:00:00,2031.17,2034.78,2030.08,2033.92,4002,4,0
2024-01-12 04:00:00,2033.92,2035.28,2033.26,2034.03,2574,4,0
2024-01-12 05:00:00,2034.02,2035.73,2033.79,2033.99,1855,4,0
2024-01-12 06:00:00,2033.96,2035.06,2032.88,2034.75,1390,4,0
2024-01-12 07:00:00,2034.76,2037.24,2033.78,2036.1,2051,4,0
2024-01-12 08:00:00,2036.12,2036.78,2034.92,2035.19,2381,7,0
